Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
I enjoyed the detailed story line with the various plot twists.,various plot twists/detailed story line/plot twists/detailed story/story line,detailed story/plot,"Informative/detailed,Good storyline/subject matter,Suspense/Mystery/thrillers,,,,"
The concept of Westworld is interesting.,westworld/interesting/westworld is interesting/concept of westworld/concept,concept,"Like the concept/idea of futuristic amusement park,,,,,,"
Everything is always changing.,always changing/everything/changing/everything is always/always,,"Suspense/Mystery/thrillers,,,,,,"
I love the western/ robot aspect of the show and the story is very involving,robot aspect/robot/involving/love/aspect,western/ robot,"Western aspect,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
THought provoking - have to really pay attention to be able to follow .,really pay attention/thought provoking/really pay/pay attention/thought,provoking,"Thought provoking,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
It's engaging. so many plot likes. the characters are very well developed as well,engaging/many plot likes/plot likes/well/likes,many plot,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the premise/setting/scenery,Like the characters development,,,,"
the main part that i want to put into this is i see what's it like to see the characters of this series that has some powerful elements to it.,main part/powerful elements/see/main/part,main part/powerful,"Appealing characters/I like the characters,,,,,,"
I think the acting is really great and the actors are amazing and the storylines are unique.,really great/unique/storylines are unique/think/acting,actors/great/acting,"Good acting,Good cast/actors,Good storyline/subject matter,Unique/different,,,"
Unique. Interesting,unique/interesting,unique,"Unique/different,Interesting/engaging,,,,,"
"There are some really good actors on the show. I really like Evan Rachel Wood, Tessa Thompson, Thandie Newton, James Marsden, and Jeffrey Wright. It's visually stunning and the nudity is gratuitous, but kind of fun.",evan rachel wood/really good actors/tessa thompson/thandie newton/james marsden,james marsden/thandie newton/tessa thompson/good actors/rachel,"Good cast/actors,Like Evan Rachel Wood,Other acting mentions,Like Thandie Newton,Witty/humorous/funny/entertaining,,"
The actors.,actors,,"Good cast/actors,,,,,,"
THE RECOMMENDATIONS,recommendations,,"Heard good review/recommendations by family/friends,,,,,,"
the graphics,graphics,,"Good visuals/graphics/special effects,,,,,,"
The characters and the storylines are the best,best/characters/storylines,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
i like the setting,setting/like the setting/like,,"Like the premise/setting/scenery,,,,,,"
yes is amazing,yes/amazing/yes is amazing,,"Good/like the show/everything,,,,,,"
its exciting the special effect is aewsome and the writing is very good,special effect/good/exciting/special/effect,special effect/exciting,"Exciting,Good visuals/graphics/special effects,Like the writing/dialog,,,,"
I like the story,story/like the story/like,,"Good storyline/subject matter,,,,,,"
It's a very unique show which is saying a lot. So much in TV has been done already,unique show/lot/done already/unique/show,unique show,"Unique/different,,,,,,"
The characters and the theme of the show,show/characters/theme,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I don't watch this on a regualr basis,regualr basis/watch/basis/regualr,regualr,"Have not watched enough to comment/not familiar with the show,,,,,,"
It’s very engaging and has a complex storyline,complex storyline/storyline/engaging/complex,complex,"Interesting/engaging,Complex storyline,,,,,"
Because the story line is so different from any other show,story line/show/story/line/different,story line,"Good storyline/subject matter,Unique/different,,,,,"
the storyline,storyline,,"Good storyline/subject matter,,,,,,"
the addition of Aaron Paul,aaron paul/paul/aaron/addition of aaron/addition,aaron,"Like Aaron Paul,,,,,,"
It is always twisted and is not obvious,always twisted/obvious/always/twisted,twisted,"Suspense/Mystery/thrillers,,,,,,"
The improbability is what I find interesting. Suspending disbelief is something that is difficult for me.,find interesting/interesting/suspending disbelief/improbability/find,interesting/improbability,"Interesting/engaging,,,,,,"
"My children and I love watching, the TV shows here are very good, our whole family likes it",love watching/watching/children/love/good,tv shows/whole,"Can watch with family/family likes the show,,,,,,"
"its script, originality and good plot",good plot/script/originality/plot/originality and good,good plot,"Like the writing/dialog,Original,Good storyline/subject matter,,,,"
"It's engaging, great writing. Dark, violent. It's fun.",great writing/engaging/great/writing/dark,great writing,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the writing/dialog,Dark/sarcastic,Violence,Witty/humorous/funny/entertaining,,"
"I am losing interest. It is far more confusing now and, even though the concept from the beginning was fantasy-based, it is even more out there now. I believe it has run its course.",losing interest/interest/losing/based/even,concept/confusing/interest,"All negative mentions,,,,,,"
The whole futuristic theme is interesting. the storylines are great and the cast is amazing.,whole futuristic theme/whole futuristic/futuristic theme/interesting/theme is interesting,whole futuristic theme/interesting,"Futuristic,Good storyline/subject matter,Good cast/actors,,,,"
The best written shows does it all at once. Westworld is very unique.,best written shows/best written/written shows/best/written,shows/best,"Like the writing/dialog,Unique/different,,,,,"
great story line,great story line/great story/story line/great/line,story,"Good storyline/subject matter,,,,,,"
It is abstract but relatable at the same time making it very interesting. It is thought provoking in thinking who is really in charge.,time making/interesting/abstract/relatable/time,same time/abstract,"Other show characteristic mentions,Interesting/engaging,Thought provoking,,,,"
good story line,good story line/good story/story line/good/line,story,"Good storyline/subject matter,,,,,,"
The production quality and the cinematography are great on the show.,production quality/show/production/quality/cinematography,production quality,"High quality show/high production values,Other High quality production values Mentions,,,,,"
All of it,,,"Good/like the show/everything,,,,,,"
I like the story twist and the focus on pivotal character development,pivotal character development/character development/story twist/pivotal character/development,story twist/character,"Suspense/Mystery/thrillers,Like the characters development,,,,,"
it is insanely confusing,insanely confusing/confusing/insanely,,"All negative mentions,,,,,,"
Good acting and original plot,good acting/original plot/good/plot/acting,good acting,"Good acting,Original,Like the premise/setting/scenery,,,,"
The characters and cast are fantastic.,fantastic/cast are fantastic/characters/cast/characters and cast,characters,"Appealing characters/I like the characters,Good cast/actors,,,,,"
I like the concept and the overall idea of the show,like the concept/overall idea/show/like/concept,overall idea,"Like the concept/idea of futuristic amusement park,,,,,,"
The revolution of artifcial intelligence is a very interesting topic.,interesting topic/artifcial intelligence/topic/revolution/artifcial,artifcial intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,,,,,"
The trailers are very appealing!,appealing/trailers,trailers,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
very good,good,,"Good/like the show/everything,,,,,,"
"High quality content ,super duper talented cast and all the part like chemistry and all that things are quite good .Over all EXCELLENT",high quality content/super duper talented/duper talented cast/part like chemistry/high quality,high quality content/duper talented,"High quality show/high production values,Good cast/actors,Good/like the show/everything,,,,"
