Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
haven't been engaged with the show for awhile so Im not sure,awhile/engaged/show/show for awhile/sure,engaged/show for awhile/sure,show,show,"Have not watched enough to comment/not familiar with the show,,,,,,"
that the store line seems to ever changing,store line seems/ever changing/store line/line seems/changing,store line seems/ever changing,store,store,"Suspense/Mystery/thrillers,,,,,,"
Interesting storylines,interesting storylines/interesting/storylines,interesting storylines,interesting,interesting,"Interesting/engaging,Good storyline/subject matter,,,,,"
Love the mystery,love/mystery/love the mystery,love the mystery,,,"Suspense/Mystery/thrillers,,,,,,"
new directions,new directions/new/directions,new directions,new,new,"Unique/different,,,,,,"
"It is nothing like anything on TV, Second season was a little confusing the first time, but after watching it again, makes sense",nothing like anything/second season/makes sense/first time/nothing like,nothing like anything/second season/makes sense/first time,little confusing/second season,little confusing/second season,"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
the complexity of the characteristic and the wide imagination,wide imagination/imagination/complexity/characteristic/wide,wide imagination/complexity/characteristic,wide imagination,wide imagination,"Like the character complexity,Science fiction/fantasy,,,,,"
"I really love the aotryline of the show. I feel like I can never guess what will happen next, and the actors and actresses are very good.",really love/love the aotryline/show/happen next/really,really love/love the aotryline/show/happen next,show/aotryline,show/aotryline,"Good storyline/subject matter,Thought provoking,Good cast/actors,,,,"
I like the story is entertaining,entertaining/story is entertaining/like/story/like the story,story is entertaining/like the story,,,"Good storyline/subject matter,Witty/humorous/funny/entertaining,,,,,"
yes,yes,yes,,,"None/no answer,,,,,,"
It's different from other shows on tv at this time,different/time/shows,different/time/shows,other shows,other shows,"Unique/different,,,,,,"
It always keeps you wondering what happens next,happens next/always keeps/next/always/keeps,happens next/always keeps,,,"Suspense/Mystery/thrillers,,,,,,"
its the best,best,best,,,"Good/like the show/everything,,,,,,"
have already invested this much time into it to stop now,already invested/much time/already/invested/much,already invested/much time,much,much,"All negative mentions,,,,,,"
I like this also good,also good/good/like/also/like this also,also good/like this also,,,"Good/like the show/everything,,,,,,"
It keeps you guessing as to what is actually happening and in what timeline.,actually happening/timeline/keeps/guessing/actually,actually happening/timeline/keeps/guessing,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I like scifi related shows but I don't like having a hard time following the story from season to season,scifi related shows/like scifi related/related shows/scifi related/like scifi,scifi related shows/like scifi related,related shows/hard,related shows/hard,"Science fiction/fantasy,,,,,,"
"It has the same title as a movie title, but it’s completely different",completely different/movie title/completely/different/title,completely different/movie title,same title/title,same title,"Unique/different,,,,,,"
"It's violent, sexual and dark. That is just what I want to see after years of watching the Disney channel, Cartoon network, Nickelodeon with kids.",violent/cartoon network/sexual/dark/disney channel,violent/cartoon network/sexual/dark/disney channel,cartoon network/disney channel/violent,cartoon network/disney channel/violent,"Violence,Other show characteristic mentions,Dark/sarcastic,,,,"
I like thandie newton she's my favorite actor and the reason I started watching. It always has me on the edge of my seat such brilliant writing. I'm hard to get one over on but it get me a lot of time. It does the same thing as game of thrones suspense so I've been hooked can't wait for the next episode.,like thandie newton/thandie newton/like thandie/newton/started watching,like thandie newton/started watching,such brilliant/thrones suspense/same thing/favorite actor/thandie newton,such brilliant/thrones suspense/same thing/favorite actor/thandie newton,"Like Thandie Newton,Attention grabbing/holds interest/keeps you wanting to watch more,Like the writing/dialog,Other misc. mentions,Suspense/Mystery/thrillers,,"
It's unique compared to other shows.,unique compared/unique/shows/compared,unique compared/shows,other,other,"Unique/different,,,,,,"
I don't know,know,know,,,"Don't know,,,,,,"
It explores the thing margins of human behavior that we consider acceptable,consider acceptable/thing margins/human behavior/acceptable/explores,consider acceptable/thing margins/human behavior/explores,thing margins,thing margins,"Other realistic/association with real life mentions,,,,,,"
I like the action and adventure,adventure/action and adventure/like/action/like the action,action and adventure/like the action,action,action,"Like the action/adventurous,,,,,,"
Great story line and suspense,great story line/great story/story line/great/suspense,great story line/suspense,great story,great story,"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
love new thing going on,love new thing/new thing going/love new/new thing/thing going,love new thing/new thing going,new,new,"Unique/different,,,,,,"
nothing at all,nothing,nothing,,,"None/no answer,,,,,,"
I really like how original it is and how even though it is sci-fi in nature it is the most realistic depiction of what would likely happen.,would likely happen/likely happen/really like/even though/realistic depiction,would likely happen/really like/even though/realistic depiction,realistic depiction/original,realistic depiction/original,"Original,Science fiction/fantasy,Looks realistic,,,,"
im not sure,sure,sure,,,"Don't know,,,,,,"
good,good,good,,,"Good/like the show/everything,,,,,,"
none,none,none,,,"None/no answer,,,,,,"
It's complicated,complicated,complicated,,,"Complex storyline,,,,,,"
it's a bizarre storyline and makes you want to know what's going to happen next.,happen next/bizarre storyline/going/next/going to happen,happen next/bizarre storyline/going to happen,bizarre,bizarre,"Other storyline/Plot mentions,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"This show is totally different from other shows. It is full of drama, intrigue and violence.",totally different/shows/show/totally/different,totally different/shows,other shows/different/show,other shows/different,"Unique/different,Like the drama,Interesting/engaging,Violence,,,"
"It's attention grabbing , the plots are good really want to see what happens next",attention grabbing/good really want/happens next/good really/really want,attention grabbing/good really want/happens next,attention,attention,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the premise/setting/scenery,,,,,"
The plot complexities are good and this season is more up front than last season which I didn’t enjoy as much,plot complexities/last season/enjoy/much/enjoy as much,plot complexities/last season/enjoy as much,plot complexities/season,plot complexities/season,"Complex storyline,Witty/humorous/funny/entertaining,,,,,"
Interesting characters and sherry line. The thought that this could actually happen. Season 3 has not grabbed my attention like 1 and 2.,interesting characters/sherry line/interesting/line/could actually happen,interesting characters/sherry line/could actually happen,interesting characters/sherry,interesting characters/sherry,"Appealing characters/I like the characters,,,,,,"
It gives me something to talk about with my wife while we are watching,watching/gives/something/talk/wife,watching/gives/something/talk/wife,,,"Other misc. mentions,,,,,,"
The dystopian world of technology,dystopian world/technology/world of technology/dystopian/world,dystopian world/world of technology,dystopian,dystopian,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
the cast and interesting storyline,interesting storyline/storyline/cast/interesting/cast and interesting,interesting storyline/cast and interesting,interesting,interesting,"Good cast/actors,Good storyline/subject matter,,,,,"
